coeff,seed,alpha_norm,effect,repetition,ppl
-8.737497916818162,0,-0.2,0.0,0.04882629269197225,3.6485205289644282
-8.737497916818162,1,-0.2,0.0,0.03863504999711001,3.278422108342692
-8.737497916818162,2,-0.2,0.33783783783783783,0.049065488264271234,3.61389294883072
-5.723061135515896,0,-0.131,0.38461538461538464,0.05263593210586884,2.7605894297438636
-5.723061135515896,1,-0.131,0.0,0.022673749368664592,3.00611038542249
-5.723061135515896,2,-0.131,0.0,0.04686619047287041,2.8018652506062276
-3.8008115938159,0,-0.087,0.0,0.053502459084720344,2.8481764613667573
-3.8008115938159,1,-0.087,0.0,0.02921327921327921,2.8617654529708503
-3.8008115938159,2,-0.087,0.33783783783783783,0.05563317247820673,2.9616794522687266
-2.4028119271249944,0,-0.055,0.4098360655737705,0.015657041222012974,2.5189250711633244
-2.4028119271249944,1,-0.055,0.0,0.025313971742543184,2.8033124393930544
-2.4028119271249944,2,-0.055,0.0,0.03974507359924029,2.792138096824081
-1.4416871562749967,0,-0.033,0.4098360655737705,0.0184557903746132,2.5788862165094506
-1.4416871562749967,1,-0.033,0.0,0.02597945532728141,2.754044425319046
-1.4416871562749967,2,-0.033,0.0,0.03974507359924029,2.7754959210153487
0.0,0,0.0,0.0,0.025949594354360977,2.618197881325103
0.0,1,0.0,0.0,0.03295762456721363,2.607755504197109
0.0,2,0.0,0.3333333333333333,0.02329302987197726,2.5385460522311756
1.4416871562749967,0,0.033,0.31645569620253167,0.027147130579507628,2.7568041039036957
1.4416871562749967,1,0.033,0.0,0.036557115723782424,2.5589746977600476
1.4416871562749967,2,0.033,0.0,0.019425681599786776,2.5836140415393998
1.9222495416999954,0,0.044,0.0,0.02926252575892721,2.6411061949038155
1.9222495416999954,1,0.044,0.36764705882352944,0.03413517115346951,2.386400703722603
1.9222495416999954,2,0.044,0.0,0.019425681599786776,2.587537468442625
2.4028119271249944,0,0.055,0.0,0.04372865512571397,2.8641054936087285
2.4028119271249944,1,0.055,0.0,0.04309694417146742,2.4373437183466584
2.4028119271249944,2,0.055,0.0,0.019425681599786776,2.587537468442625
3.8008115938159,0,0.087,0.0,0.043373036349042576,2.8577087682714133
3.8008115938159,1,0.087,0.0,0.03970754336425977,2.847556041565975
3.8008115938159,2,0.087,0.3968253968253968,0.022419572504462137,2.650004072095308
5.723061135515896,0,0.131,0.5813953488372093,0.04354056437389772,2.907003491858215
5.723061135515896,1,0.131,0.30864197530864196,0.06305247456330004,2.809593916707981
5.723061135515896,2,0.131,0.4098360655737705,0.022331223628692,2.7999517454123177
8.60643544806589,0,0.197,0.3333333333333333,0.02772380853253767,2.6832608526759634
8.60643544806589,1,0.197,0.33783783783783783,0.037381924026609115,2.63852522516566
8.60643544806589,2,0.197,1.0138888888888888,0.04828407118973435,2.477350478160705
12.407247041881789,0,0.284,0.0,0.05565323907501493,3.216094931459617
12.407247041881789,1,0.284,0.33783783783783783,0.039068319137180035,3.280074083607094
12.407247041881789,2,0.284,0.6666666666666666,0.04040797606198451,3.389126003985309
