coeff,seed,alpha_norm,effect,repetition,ppl
-92.9,0,-0.2,0.0,0.0,38.44597487077204
-92.9,1,-0.2,0.0,0.011904761904761918,27.823851698369477
-92.9,2,-0.2,0.0,0.0,26.448207428475975
-60.8495,0,-0.131,0.32894736842105265,0.04818785578747631,15.90826363220662
-60.8495,1,-0.131,0.3333333333333333,0.027857702422919822,12.063114752380748
-60.8495,2,-0.131,0.0,0.022085610200364314,18.074862200011044
-40.4115,0,-0.087,0.0,0.030639233954451367,5.1107799871081045
-40.4115,1,-0.087,0.36231884057971014,0.02838235294117647,4.19034143363613
-40.4115,2,-0.087,0.0,0.016283292978208214,4.822277389308692
-25.5475,0,-0.055,0.0,0.02042063189950513,3.0604461064412325
-25.5475,1,-0.055,0.0,0.03230436230436229,3.5109654275071134
-25.5475,2,-0.055,0.0,0.01677162839882318,2.762899533491134
-15.3285,0,-0.033,0.0,0.030311892625325465,3.04399881528429
-15.3285,1,-0.033,0.30864197530864196,0.026047679172679167,2.819794223248521
-15.3285,2,-0.033,0.0,0.026698234015307187,3.0587909359436853
0.0,0,0.0,0.32051282051282054,0.05214222052457346,2.3666880061450297
0.0,1,0.0,0.7750582750582751,0.02634019300685969,2.763788798043627
0.0,2,0.0,0.3125,0.037097164196684074,2.7514057635727127
15.3285,0,0.033,0.6748188405797102,0.032446469227059904,2.514764172507166
15.3285,1,0.033,0.0,0.036036743015833456,2.7587597792308767
15.3285,2,0.033,0.3787878787878788,0.061455748552522727,2.594933019470951
20.438,0,0.044,1.1039060930279283,0.040894989748979566,2.7747878523712064
20.438,1,0.044,0.4032258064516129,0.03352041808325959,2.9037857609130353
20.438,2,0.044,0.8333333333333334,0.05505432358530815,3.0767450211843292
25.5475,0,0.055,1.606831986578822,0.04131608523055891,2.8277235588864134
25.5475,1,0.055,0.7634032634032635,0.029806869072708103,2.972376390687131
25.5475,2,0.055,1.4186507936507935,0.06584189255687825,3.474253982296581
40.4115,0,0.087,0.9868421052631579,0.05196428571428574,3.589892474029992
40.4115,1,0.087,1.8597560975609757,0.03710170231340024,4.581527080061749
40.4115,2,0.087,1.279205001870743,0.05457711792851111,4.600829995158988
60.8495,0,0.131,5.603581352269218,0.07811016144349478,7.188481363017084
60.8495,1,0.131,2.8842695509362173,0.06250763134637302,6.334132831685416
60.8495,2,0.131,2.977472211968336,0.08641256201275688,7.281235756454969
91.5065,0,0.197,3.592943201376937,0.13352189244784013,16.525695202536163
91.5065,1,0.197,5.883318844779291,0.25267265073583367,18.755757800197447
91.5065,2,0.197,4.6547595642464294,0.20299030476118896,19.47965791853826
131.91799999999998,0,0.284,2.993980904939809,0.4764570251177394,14.889750576488083
131.91799999999998,1,0.284,1.9181991122384274,0.49383800257351546,20.715333610893037
131.91799999999998,2,0.284,1.9381804090835912,0.48495481127060075,16.96368800933631
