coeff,seed,alpha_norm,effect,repetition,ppl
-8.737501041591292,0,-0.2,62.5,0.04533439231019876,3.0361664378640376
-8.737501041591292,1,-0.2,64.0,0.02577488794899313,2.812358372106093
-8.737501041591292,2,-0.2,64.25,0.0306280027453672,2.914597247783882
-5.723063182242297,0,-0.131,65.25,0.04856429854926936,2.806736838155736
-5.723063182242297,1,-0.131,61.25,0.01862220877051385,2.9167118714310454
-5.723063182242297,2,-0.131,67.25,0.02722026475237091,2.8044509028412206
-3.8008129530922115,0,-0.087,63.0,0.05337261568604851,2.521906748302823
-3.8008129530922115,1,-0.087,66.0,0.039302528334786396,2.621602625861016
-3.8008129530922115,2,-0.087,66.0,0.05259034443817054,2.790578744940094
-2.402812786437605,0,-0.055,65.5,0.047902203881550975,2.5052160476979024
-2.402812786437605,1,-0.055,72.75,0.03018418832603545,2.5635537665890693
-2.402812786437605,2,-0.055,65.75,0.05300165032082885,2.867895809055653
-1.441687671862563,0,-0.033,73.25,0.045672373984887216,2.441514887235737
-1.441687671862563,1,-0.033,63.0,0.01665940766550525,2.855552431314046
-1.441687671862563,2,-0.033,65.0,0.03701447294124641,2.7426248569732667
0.0,0,0.0,76.5,0.025949594354360977,2.618197881325103
0.0,1,0.0,67.5,0.03295762456721363,2.607755504197109
0.0,2,0.0,71.25,0.02329302987197726,2.5385460522311756
1.441687671862563,0,0.033,68.5,0.03860394657529903,2.6609029214795443
1.441687671862563,1,0.033,66.75,0.0393053422237217,2.773842169270271
1.441687671862563,2,0.033,70.75,0.06688856711779281,2.569823329313287
1.922250229150084,0,0.044,67.5,0.04169530931875001,2.674941972724059
1.922250229150084,1,0.044,65.75,0.0369517543859649,2.9275397494923356
1.922250229150084,2,0.044,68.5,0.04571434359075932,2.581496854926631
2.402812786437605,0,0.055,72.75,0.036875714588837316,2.3823439178843304
2.402812786437605,1,0.055,65.75,0.037222667630845335,2.9391762941414608
2.402812786437605,2,0.055,68.5,0.061537128400885904,2.714926217297479
3.8008129530922115,0,0.087,72.5,0.03698106386627875,2.7500064769093693
3.8008129530922115,1,0.087,73.0,0.03943348590526008,2.6959010793160845
3.8008129530922115,2,0.087,69.25,0.042508998665715086,2.7859010701422964
5.723063182242297,0,0.131,76.25,0.035526301655333936,2.686885116288967
5.723063182242297,1,0.131,67.0,0.042385829524413776,2.7366134750264983
5.723063182242297,2,0.131,74.25,0.024428527480170686,2.409900819559914
8.606438525967423,0,0.197,75.75,0.04499863536008111,2.7590839814588457
8.606438525967423,1,0.197,77.0,0.04130613349761514,3.2544325373526846
8.606438525967423,2,0.197,73.75,0.04802199756420897,2.9148312972362653
12.407251479059633,0,0.284,77.0,0.055189596117639655,3.6105992329380032
12.407251479059633,1,0.284,79.75,0.056944444444444464,4.090598534600667
12.407251479059633,2,0.284,78.75,0.06300964688751365,4.373779899334128
