layer,layer_pos,seed,dir_norm,formality,repetition,ppl
1,1,0,1.0000001192092896,5.716115454620667,0.6646078114303886,102.46980455890241
1,1,1,1.0000001192092896,6.978878148016156,0.5992884774799668,107.2918101132448
1,1,2,1.0000001192092896,4.546867366878359,0.5962693765653557,34.81742252043689
2,2,0,1.000000238418579,4.44593710839599,0.12811544313901568,6.2415932537006436
2,2,1,1.000000238418579,4.387039813319301,0.03510208082125893,3.699242025367885
2,2,2,1.000000238418579,4.361992578247428,0.2168848660877037,4.572213933780565
3,3,0,1.0000001192092896,2.8904298205768795,0.49375786075847417,5.803930497579091
3,3,1,1.0000001192092896,3.3735818778922226,0.5963854275903193,7.245229646163102
3,3,2,1.0000001192092896,3.914524364524364,0.4376978703360514,13.428038225410821
4,4,0,1.0,4.788284088735896,0.020206270884731897,2.9874668195391836
4,4,1,1.0,4.601675740545604,0.02109402005658273,2.6385277106644325
4,4,2,1.0,4.533984139261168,0.04072017361491048,2.693599664525025
5,5,0,1.0000001192092896,4.794950685980098,0.03206271723573914,2.7424232911686666
5,5,1,1.0000001192092896,4.831418559013176,0.01387963579835666,3.0121794060573954
5,5,2,1.0000001192092896,4.9656589786822725,0.018501984126984117,2.738163725760054
6,6,0,0.9999997615814209,4.829407478347768,0.021755575647980696,2.7225371548731307
6,6,1,0.9999997615814209,4.608898393273393,0.0400634688609372,2.684404821250769
6,6,2,0.9999997615814209,4.705589389052815,0.04314636040519937,2.9115962961289776
7,7,0,1.0000001192092896,4.931567028985507,0.03786936160206919,2.7592087818995776
7,7,1,1.0000001192092896,4.719465495295825,0.05448573573573573,2.7170617285199716
7,7,2,1.0000001192092896,4.8693478260869565,0.04345072889439788,2.7886355857411704
8,8,0,1.0000001192092896,4.903962680477886,0.03360389610389611,2.8828608577996935
8,8,1,1.0000001192092896,4.867565659481942,0.03643162393162391,3.0417334132099936
8,8,2,1.0000001192092896,4.912235860440944,0.03328523328523331,3.4181945134751124
9,9,0,1.000000238418579,4.639132808617929,0.03374491482329012,3.067722358592462
9,9,1,1.000000238418579,4.782852535977536,0.025253036437246967,2.9519021717698624
9,9,2,1.000000238418579,4.632953700623663,0.02863829810422147,3.005614540776552
10,10,0,1.000000238418579,4.854686011868959,0.04524499473129612,2.92989347025615
10,10,1,1.000000238418579,4.680790922656718,0.040129247446320626,3.058646062018905
10,10,2,1.000000238418579,4.643432090694675,0.03240131578947367,2.829603255742778
11,11,0,1.0,4.701647732897733,0.024069071966042827,2.6699634884975647
11,11,1,1.0,4.586421597201982,0.03138641522612187,2.74042522212409
11,11,2,1.0,4.800640084801044,0.05344413849160684,2.7457817173912114
12,12,0,1.0000003576278687,4.5668075570349345,0.037604892148271146,2.775997492912967
12,12,1,1.0000003576278687,4.590555747258646,0.041247342310418156,2.9102624225919254
12,12,2,1.0000003576278687,4.470329218278512,0.03986944875416054,2.457122649819948
13,13,0,0.9999999403953552,4.849090027250947,0.031302362817176466,3.902355918471036
13,13,1,0.9999999403953552,5.096893557587123,0.04751196851671535,3.890750332821055
13,13,2,0.9999999403953552,5.237267408100742,0.05306542213866555,4.01617649228262
14,14,0,1.0,5.0220855130432565,0.032899025856772346,3.6999419686524235
14,14,1,1.0,4.987270387270387,0.0476737038596374,3.367368521758481
14,14,2,1.0,5.1735063932980605,0.04151875802605026,3.433419919555667
15,15,0,0.9999999403953552,4.909555511914114,0.03519656019656017,3.319662555559885
15,15,1,0.9999999403953552,4.911095470984711,0.05192264985736003,3.6826229007805122
15,15,2,0.9999999403953552,5.041761363636363,0.04983396485676214,3.631373643416099
16,16,0,1.0,5.020996430470115,0.04394531484783526,3.401583419506564
16,16,1,1.0,5.077728787177112,0.03895168293902471,3.7370313823584205
16,16,2,1.0,4.846174695264885,0.045162125976999395,3.564959123602147
17,17,0,1.0,4.8619200176756525,0.0440813417897232,3.3364521192585674
17,17,1,1.0,5.089980189860378,0.03585272772772774,3.1125119128809957
17,17,2,1.0,4.9375042738521655,0.04960641142481048,3.657798951256328
18,18,0,1.0000001192092896,3.978846153846154,0.07670500010410658,3.4191564383714104
18,18,1,1.0000001192092896,3.702997579520858,0.05751655257724142,3.212749049145552
18,18,2,1.0000001192092896,3.9907598499061914,0.04463734567901234,3.449806020193033
19,19,0,1.000000238418579,4.850394644473592,0.06205735053910605,2.790346201705355
19,19,1,1.000000238418579,4.757172915860297,0.05474050981111314,2.7768050935763755
19,19,2,1.000000238418579,4.958437242506952,0.05415631469979296,3.0426190247085274
