layer,layer_pos,seed,dir_norm,resid_norm,coeff,alpha_norm,formality,repetition,ppl
1,1,0,0.9999997615814209,29.5625,1.3007503101230407,0.044,3.870427009311314,0.0451871664564219,5.050303539998886
1,1,1,0.9999997615814209,29.5625,1.3007503101230407,0.044,4.164685463536038,0.0475580912933623,4.991342649256213
1,1,2,0.9999997615814209,29.5625,1.3007503101230407,0.044,4.021289928976496,0.038725884120620974,3.3476534479711755
2,2,0,1.0000004768371582,30.34375,1.3351243633630927,0.044,4.642872661713601,0.05083000333000334,3.1563358902360137
2,2,1,1.0000004768371582,30.34375,1.3351243633630927,0.044,4.673432218466465,0.011363636363636354,2.936768760753183
2,2,2,1.0000004768371582,30.34375,1.3351243633630927,0.044,4.7172251286348645,0.025822549497355934,3.495529751360505
3,3,0,1.000000238418579,31.15625,1.3708746731580082,0.044,4.51352562239659,0.021830547419009694,2.7411718306192583
3,3,1,1.000000238418579,31.15625,1.3708746731580082,0.044,4.290535921761844,0.044024964366987274,2.723174510441703
3,3,2,1.000000238418579,31.15625,1.3708746731580082,0.044,4.609082318387154,0.036011607440178894,3.254729817947877
4,4,0,1.000000238418579,32.125,1.4134996629954188,0.044,4.309662176274018,0.033815524193548385,2.6411627302630154
4,4,1,1.000000238418579,32.125,1.4134996629954188,0.044,4.441929818655176,0.033915963263789345,2.7966872659265887
4,4,2,1.000000238418579,32.125,1.4134996629954188,0.044,4.476047697821891,0.06941974977867887,2.7006540713514746
5,5,0,1.0000001192092896,32.71875,1.4396248283833468,0.044,4.339033922047306,0.05996691219540609,2.497149234560021
5,5,1,1.0000001192092896,32.71875,1.4396248283833468,0.044,4.89282967032967,0.04522342280264166,2.57823085888528
5,5,2,1.0000001192092896,32.71875,1.4396248283833468,0.044,4.549724243474244,0.04022258710813842,2.663136199307657
6,6,0,1.0,33.4375,1.47125,0.044,4.635427631578947,0.059182000716810845,2.585516474051369
6,6,1,1.0,33.4375,1.47125,0.044,4.540431266846361,0.04929313046885203,2.6205267090449107
6,6,2,1.0,33.4375,1.47125,0.044,4.342530187559641,0.030869565217391287,2.8731244723234384
7,7,0,0.9999999403953552,34.1875,1.5042500896602922,0.044,4.412106867779205,0.05317948049168705,2.541875591056664
7,7,1,0.9999999403953552,34.1875,1.5042500896602922,0.044,4.7664307709012945,0.05017216390167209,2.570884836114265
7,7,2,0.9999999403953552,34.1875,1.5042500896602922,0.044,4.392069952817443,0.04940340598235335,2.6767962510043732
8,8,0,1.0,34.78125,1.5303749999999998,0.044,4.372746415770609,0.05202905346940162,2.5633117191196537
8,8,1,1.0,34.78125,1.5303749999999998,0.044,4.668609132802681,0.0546922171059358,2.5510996854082992
8,8,2,1.0,34.78125,1.5303749999999998,0.044,4.1845205286193305,0.033633188249428514,2.481516895447617
9,9,0,0.9999998807907104,35.25,1.5510001848936301,0.044,4.586932211769438,0.0142460796491658,2.630138920835656
9,9,1,0.9999998807907104,35.25,1.5510001848936301,0.044,4.617154535864978,0.027167277167277154,2.6673450440970656
9,9,2,0.9999998807907104,35.25,1.5510001848936301,0.044,4.576106641756901,0.023090374785290052,2.613114940647019
10,10,0,1.000000238418579,35.625,1.5674996262789662,0.044,4.694184008762322,0.03796782918320743,2.5129495636316097
10,10,1,1.000000238418579,35.625,1.5674996262789662,0.044,4.629568764568765,0.04700276575276577,2.6585777920385314
10,10,2,1.000000238418579,35.625,1.5674996262789662,0.044,4.655514595208134,0.03286814961343262,2.5538023869811246
11,11,0,1.0,35.8125,1.57575,0.044,4.478978129713425,0.045865021721035765,2.8389957166668296
11,11,1,1.0,35.8125,1.57575,0.044,4.652130531266561,0.051028563436403745,2.6607241292962436
11,11,2,1.0,35.8125,1.57575,0.044,4.5513556457065585,0.03786543810110188,2.601063373964453
12,12,0,1.0000004768371582,36.8125,1.6197492276433811,0.044,4.467418295989725,0.02869745386192754,2.6589307922521397
12,12,1,1.0000004768371582,36.8125,1.6197492276433811,0.044,4.731121615312793,0.04764222366428725,2.7169463617411624
12,12,2,1.0000004768371582,36.8125,1.6197492276433811,0.044,4.699433497536946,0.044052920197084955,2.5225799259753425
13,13,0,1.0,37.0625,1.63075,0.044,4.562020296776394,0.03144164862914864,2.564266796255737
13,13,1,1.0,37.0625,1.63075,0.044,4.536677053569541,0.030851701904333506,2.5477913293495824
13,13,2,1.0,37.0625,1.63075,0.044,4.647669341167793,0.07644080234833661,2.817409326219917
14,14,0,0.9999998807907104,37.5,1.650000196695351,0.044,4.6114866117490525,0.03992151982336481,2.847307623951367
14,14,1,0.9999998807907104,37.5,1.650000196695351,0.044,4.667207845917523,0.03760621608241596,2.617603129077523
14,14,2,0.9999998807907104,37.5,1.650000196695351,0.044,4.723568714039156,0.04303693803600758,2.6769850008916674
15,15,0,0.9999997615814209,38.3125,1.6857504019142153,0.044,4.528550158978563,0.042711824465856724,2.5029374489363727
15,15,1,0.9999997615814209,38.3125,1.6857504019142153,0.044,4.606085022458313,0.031070657772109683,2.5118376683615606
15,15,2,0.9999997615814209,38.3125,1.6857504019142153,0.044,4.536890599415739,0.03715814822747665,2.636997275521936
16,16,0,0.9999998807907104,39.4375,1.7352502068579443,0.044,4.413814095387371,0.03848977225059838,2.476728645797085
16,16,1,0.9999998807907104,39.4375,1.7352502068579443,0.044,4.302663757810817,0.05717990954672214,2.627736132474831
16,16,2,0.9999998807907104,39.4375,1.7352502068579443,0.044,4.506915391158271,0.03811029978793137,2.5701351646164325
17,17,0,1.0000001192092896,40.25,1.7709997888803732,0.044,4.531254689086015,0.02555654530907775,2.5641663039732006
17,17,1,1.0000001192092896,40.25,1.7709997888803732,0.044,4.636198870573871,0.03467170309186263,2.551947219201535
17,17,2,1.0000001192092896,40.25,1.7709997888803732,0.044,4.497151681842862,0.02942404162923029,2.6158333367098336
18,18,0,0.9999998807907104,41.5,1.8260002176761885,0.044,4.682519315410292,0.04147640791476409,2.884673389676791
