layer,layer_pos,seed,dir_norm,resid_norm,coeff,alpha_norm,effect,repetition,ppl
1,1,0,0.9999997615814209,29.5625,5.823813888505432,0.19699999999999998,1.527304964539007,0.5646460306432151,11.885109248501879
1,1,1,0.9999997615814209,29.5625,5.823813888505432,0.19699999999999998,3.8884740259740256,0.5262250830564783,42.732293992707625
1,1,2,0.9999997615814209,29.5625,5.823813888505432,0.19699999999999998,1.8166666666666664,0.2638888888888889,147.00161221903056
2,2,0,1.0000004768371582,30.34375,5.977715899602938,0.197,2.282885929683647,0.43096689895470386,18.431759204694412
2,2,1,1.0000004768371582,30.34375,5.977715899602938,0.197,2.9929369597301285,0.44750195160031225,18.25328539155157
2,2,2,1.0000004768371582,30.34375,5.977715899602938,0.197,2.154011824324324,0.6437127163750154,3.5116881703181297
3,3,0,1.000000238418579,31.15625,6.137779786639265,0.197,3.6020328017570664,0.2669609598140754,14.913224176953603
3,3,1,1.000000238418579,31.15625,6.137779786639265,0.197,3.2670106075216974,0.16845238095238094,48.68190046539553
3,3,2,1.000000238418579,31.15625,6.137779786639265,0.197,3.7913198247535598,0.37454834833568734,26.33441561577868
4,4,0,1.000000238418579,32.125,6.32862349113858,0.197,4.008747009569378,0.0713142174432497,6.353881549982448
4,4,1,1.000000238418579,32.125,6.32862349113858,0.197,4.089620542922135,0.0839859317710824,4.806907268800954
4,4,2,1.000000238418579,32.125,6.32862349113858,0.197,3.2966863682092553,0.0580386444310495,8.742999959470788
5,5,0,1.0000001192092896,32.71875,6.44559298162544,0.197,4.648678618615326,0.07174370559159718,5.452445822624085
5,5,1,1.0000001192092896,32.71875,6.44559298162544,0.197,4.43859487731693,0.1323761532585062,5.267596655093289
5,5,2,1.0000001192092896,32.71875,6.44559298162544,0.197,4.304298245614035,0.1028548179159636,5.993456664319826
6,6,0,1.0,33.4375,6.587187500000001,0.197,4.782268719969615,0.20364352902249955,6.933543530920714
6,6,1,1.0,33.4375,6.587187500000001,0.197,4.163775267941935,0.18352566108590204,7.608056150724042
6,6,2,1.0,33.4375,6.587187500000001,0.197,4.464761027261027,0.13045490972248472,6.665365577675562
7,7,0,0.9999999403953552,34.1875,6.7349379014335815,0.197,4.026752239420199,0.11484564961087151,3.7048307398199576
7,7,1,0.9999999403953552,34.1875,6.7349379014335815,0.197,4.418597768417245,0.1099699843705598,4.972639698737842
7,7,2,0.9999999403953552,34.1875,6.7349379014335815,0.197,4.161366250982021,0.06469168940630132,4.285465452276261
8,8,0,1.0,34.78125,6.85190625,0.197,4.307275732502618,0.13010907060086516,5.196903323959832
8,8,1,1.0,34.78125,6.85190625,0.197,4.295545563932192,0.11707132365611406,4.573963678396788
8,8,2,1.0,34.78125,6.85190625,0.197,4.407724226157998,0.08424438067910095,5.279900434531244
9,9,0,0.9999998807907104,35.25,6.944250827819208,0.197,4.755313577065803,0.17565604995043513,5.819524780988239
9,9,1,0.9999998807907104,35.25,6.944250827819208,0.197,4.471023374163699,0.2736788617886179,5.316351265470197
9,9,2,0.9999998807907104,35.25,6.944250827819208,0.197,4.32547051155702,0.19476405946994185,5.439837184885619
10,10,0,1.000000238418579,35.625,7.018123326749009,0.197,4.259627774229885,0.30745865267578887,6.280325496255329
10,10,1,1.000000238418579,35.625,7.018123326749009,0.197,4.4583011533312735,0.2294093249986058,5.43411595900833
10,10,2,1.000000238418579,35.625,7.018123326749009,0.197,4.1592171744680515,0.2637976860537836,6.522101864407338
11,11,0,1.0,35.8125,7.0550625,0.197,3.931415675779286,0.21460720932510532,8.074438264363963
11,11,1,1.0,35.8125,7.0550625,0.197,4.292466460268318,0.15388655462184872,7.520978881152091
11,11,2,1.0,35.8125,7.0550625,0.197,4.0604908209074875,0.2839975450355909,6.5973598148862225
12,12,0,1.0000004768371582,36.8125,7.252059041948775,0.197,4.466217181011615,0.09476341349547951,5.863452813443066
12,12,1,1.0000004768371582,36.8125,7.252059041948775,0.197,4.76525974025974,0.10437185864368989,7.52805598034945
12,12,2,1.0000004768371582,36.8125,7.252059041948775,0.197,4.525853447961657,0.12027229091966918,5.513563134428412
13,13,0,1.0,37.0625,7.3013125,0.197,4.607647440670523,0.06097447328790612,3.9180570792254796
13,13,1,1.0,37.0625,7.3013125,0.197,4.782552642176265,0.059357118877988724,4.047649640443636
13,13,2,1.0,37.0625,7.3013125,0.197,4.511595150880865,0.0451190694386259,4.927369214772341
14,14,0,0.9999998807907104,37.5,7.387500880658732,0.197,5.043887918879927,0.1701218273063996,4.464964133719096
14,14,1,0.9999998807907104,37.5,7.387500880658732,0.197,4.892935753458659,0.09614856676423839,5.214352663087058
14,14,2,0.9999998807907104,37.5,7.387500880658732,0.197,5.1731062236892456,0.09371054292929293,5.392414240098792
15,15,0,0.9999997615814209,38.3125,7.547564299479556,0.197,4.861009489439918,0.06919275702191172,3.3503503577999254
15,15,1,0.9999997615814209,38.3125,7.547564299479556,0.197,4.8241479554411635,0.09893497307290411,3.7404223585580336
15,15,2,0.9999997615814209,38.3125,7.547564299479556,0.197,4.894255867562597,0.05518779342723004,4.165647336139197
16,16,0,0.9999998807907104,39.4375,7.769188426159433,0.197,4.448592635434741,0.02250776482127287,5.546629671991022
