layer,layer_pos,seed,dir_norm,resid_norm,coeff,alpha_norm,formality,repetition,ppl
1,1,0,1.0000001192092896,20.9375,0.921249890178455,0.044,4.425776908849665,0.0456787187816253,2.388860905031091
1,1,1,1.0000001192092896,20.9375,0.921249890178455,0.044,4.55340930674264,0.042398648648648674,2.507032669120158
1,1,2,1.0000001192092896,20.9375,0.921249890178455,0.044,4.631373266563944,0.048603615703135566,2.718872611036747
2,2,0,1.0,27.625,1.2155,0.044,4.477091793655261,0.06917190363969627,2.3530737152927834
2,2,1,1.0,27.625,1.2155,0.044,4.704386235233693,0.029569547996272122,2.7354275754322055
2,2,2,1.0,27.625,1.2155,0.044,4.642861095674725,0.03738566698518686,2.6898446089699304
3,3,0,0.9999999403953552,307.0,13.508000805139588,0.044,4.717360681114552,0.029099771413204245,2.6633547451207757
3,3,1,0.9999999403953552,307.0,13.508000805139588,0.044,4.6612661649154425,0.06839310478550986,2.3831571044565125
3,3,2,0.9999999403953552,307.0,13.508000805139588,0.044,4.838851351351352,0.02324275769144396,2.7909099917131837
4,4,0,0.9999998807907104,382.5,16.83000200629258,0.044,4.474660894660895,0.05640285871610151,2.495438825975725
4,4,1,0.9999998807907104,382.5,16.83000200629258,0.044,4.551229317903083,0.0437062937062937,2.7192370798729915
4,4,2,0.9999998807907104,382.5,16.83000200629258,0.044,4.697925397781875,0.03469785575048734,2.597854347508262
5,5,0,1.0,393.0,17.291999999999998,0.044,4.809178355307827,0.05128127696289905,2.780526717436275
5,5,1,1.0,393.0,17.291999999999998,0.044,4.665618855589926,0.06132570950913449,2.589037091805041
5,5,2,1.0,393.0,17.291999999999998,0.044,4.972147644022644,0.028916720175488853,2.6354987884028667
6,6,0,0.9999999403953552,403.0,17.732001056909624,0.044,4.745682520845695,0.05460470684575469,2.8242524799739877
6,6,1,0.9999999403953552,403.0,17.732001056909624,0.044,4.791743587667449,0.05343192843192843,2.5449094138410144
6,6,2,0.9999999403953552,403.0,17.732001056909624,0.044,5.166898554723338,0.024075955491049822,2.871707884809776
7,7,0,1.0000001192092896,412.0,18.127997838974256,0.044,4.452321163825055,0.05860530080159779,2.3679401619218297
7,7,1,1.0000001192092896,412.0,18.127997838974256,0.044,4.651659100216885,0.08316926604597838,2.6868620606894487
7,7,2,1.0000001192092896,412.0,18.127997838974256,0.044,4.734110753187418,0.04559323826110262,2.6766830535634396
8,8,0,0.9999997019767761,421.5,18.546005527140355,0.044,4.61525004484131,0.03572199730094466,2.563982374232112
8,8,1,0.9999997019767761,421.5,18.546005527140355,0.044,4.8289513928100884,0.04671979615399688,2.60257285844927
8,8,2,0.9999997019767761,421.5,18.546005527140355,0.044,4.730321133293003,0.03323234005612419,2.541488491652397
9,9,0,0.9999998211860657,429.5,18.898003379226335,0.044,4.585129402822219,0.033143315018314995,3.085984142713336
9,9,1,0.9999998211860657,429.5,18.898003379226335,0.044,4.419288991253862,0.02148468815135482,2.7061898364162222
