layer,layer_pos,seed,dir_norm,resid_norm,coeff,alpha_norm,effect,repetition,ppl
1,1,0,1.000000238418579,29.5625,1.300749689877107,0.044,0.3333333333333333,0.1093561510228177,4.289879453906891
1,1,1,1.000000238418579,29.5625,1.300749689877107,0.044,0.0,0.08699672338912845,4.140721061213032
1,1,2,1.000000238418579,29.5625,1.300749689877107,0.044,0.9577955654835774,0.06874593716143013,3.8481471076674123
2,2,0,0.9999997615814209,30.34375,1.3351253183186813,0.044,0.4098360655737705,0.04300392589866278,3.136571996732929
2,2,1,0.9999997615814209,30.34375,1.3351253183186813,0.044,0.0,0.023716867149244203,2.9211393530723955
2,2,2,0.9999997615814209,30.34375,1.3351253183186813,0.044,0.0,0.03518664878637795,2.9375618440269147
3,3,0,0.9999998807907104,31.15625,1.370875163421054,0.044,0.30120481927710846,0.02991071428571429,2.7512647592862596
3,3,1,0.9999998807907104,31.15625,1.370875163421054,0.044,0.0,0.028694477654166634,2.60182447275303
3,3,2,0.9999998807907104,31.15625,1.370875163421054,0.044,0.0,0.03811327561327563,2.580599350068032
4,4,0,0.9999998807907104,32.125,1.413500168502351,0.044,0.0,0.0402610897309747,2.6411878530305755
4,4,1,0.9999998807907104,32.125,1.413500168502351,0.044,0.3472222222222222,0.031012891867333026,2.542961790935849
4,4,2,0.9999998807907104,32.125,1.413500168502351,0.044,0.0,0.0348432205049852,3.03610953223473
5,5,0,1.0,32.71875,1.439625,0.044,0.3048780487804878,0.05767295998639285,2.7573922634120356
5,5,1,1.0,32.71875,1.439625,0.044,0.0,0.0623265853087234,2.63342762524413
5,5,2,1.0,32.71875,1.439625,0.044,0.0,0.024467271234512616,2.7310328257920156
6,6,0,1.0000001192092896,33.4375,1.4712498246133536,0.044,0.3472222222222222,0.024558941459502798,2.770544446740644
6,6,1,1.0000001192092896,33.4375,1.4712498246133536,0.044,0.3968253968253968,0.042682800824647954,2.9654792413564715
6,6,2,1.0000001192092896,33.4375,1.4712498246133536,0.044,1.044251447477254,0.05374908653597177,2.8056688406508434
7,7,0,0.9999997019767761,34.1875,1.504250448301568,0.044,0.0,0.03564245215364617,2.7403052437569655
7,7,1,0.9999997019767761,34.1875,1.504250448301568,0.044,0.0,0.031577104526020944,2.7451775301148174
7,7,2,0.9999997019767761,34.1875,1.504250448301568,0.044,0.43859649122807015,0.03107275788727401,2.5844847356363765
8,8,0,0.9999997019767761,34.78125,1.530375456087427,0.044,0.0,0.028959116541353414,2.556230714187395
8,8,1,0.9999997019767761,34.78125,1.530375456087427,0.044,0.0,0.038372433512470716,2.682191615108148
8,8,2,0.9999997019767761,34.78125,1.530375456087427,0.044,0.2976190476190476,0.07980166508027953,2.836683403356661
9,9,0,1.0000001192092896,35.25,1.550999815106414,0.044,1.028225806451613,0.0419620898536594,2.3889363580641487
9,9,1,1.0000001192092896,35.25,1.550999815106414,0.044,0.6718975468975469,0.03042305140625054,2.6260906495993934
9,9,2,1.0000001192092896,35.25,1.550999815106414,0.044,0.38461538461538464,0.04101595552671372,2.8082260204443967
10,10,0,0.9999998807907104,35.625,1.5675001868605836,0.044,0.4032258064516129,0.04094522280997692,2.730302829094075
10,10,1,0.9999998807907104,35.625,1.5675001868605836,0.044,0.0,0.04697724307301904,2.619029559464683
10,10,2,0.9999998807907104,35.625,1.5675001868605836,0.044,1.0528836093807845,0.034635300044782796,2.7947131626612904
11,11,0,1.0000003576278687,35.8125,1.5757494364680875,0.044,0.0,0.04156228170590323,2.575247212501987
11,11,1,1.0000003576278687,35.8125,1.5757494364680875,0.044,0.4032258064516129,0.046902539961433704,3.128362484479981
11,11,2,1.0000003576278687,35.8125,1.5757494364680875,0.044,0.7413419913419914,0.04196238980216846,2.8665265991842745
12,12,0,0.9999997019767761,36.8125,1.6197504827232605,0.044,0.38461538461538464,0.050623704766459415,2.7690057494136107
12,12,1,0.9999997019767761,36.8125,1.6197504827232605,0.044,0.0,0.037339743589743596,2.6273879232789996
12,12,2,0.9999997019767761,36.8125,1.6197504827232605,0.044,0.0,0.02702922077922079,2.6226357170394134
13,13,0,1.0000001192092896,37.0625,1.6307498055994742,0.044,0.3333333333333333,0.042177733784929755,2.7839266266834226
13,13,1,1.0000001192092896,37.0625,1.6307498055994742,0.044,0.32051282051282054,0.03408527236652237,2.619038584565044
13,13,2,1.0000001192092896,37.0625,1.6307498055994742,0.044,0.33783783783783783,0.03324269691640078,2.426972523331065
14,14,0,1.0000001192092896,37.5,1.6499998033046956,0.044,0.3246753246753247,0.040161113692174955,2.6649228727597998
14,14,1,1.0000001192092896,37.5,1.6499998033046956,0.044,0.3968253968253968,0.03546853746025547,2.6247980277526985
14,14,2,1.0000001192092896,37.5,1.6499998033046956,0.044,0.4166666666666667,0.02479848794207601,2.703290602893304
15,15,0,1.000000238418579,38.3125,1.685749598085976,0.044,0.4166666666666667,0.02976506586823538,2.6776325501707054
15,15,1,1.000000238418579,38.3125,1.685749598085976,0.044,0.4032258064516129,0.03288471274706131,2.590517290946536
15,15,2,1.000000238418579,38.3125,1.685749598085976,0.044,1.3666888666888668,0.03767205771025803,2.5973662354710014
16,16,0,1.000000238418579,39.4375,1.7352495862842592,0.044,0.0,0.021018405700782727,2.5248807031740967
16,16,1,1.000000238418579,39.4375,1.7352495862842592,0.044,0.0,0.044144580909286774,2.477994588418288
16,16,2,1.000000238418579,39.4375,1.7352495862842592,0.044,0.6666666666666666,0.028941208289034376,2.7399380061174208
17,17,0,1.0000001192092896,40.25,1.7709997888803732,0.044,0.0,0.04302644653250984,2.520405250944051
17,17,1,1.0000001192092896,40.25,1.7709997888803732,0.044,0.0,0.025627508692024792,2.662183734777385
17,17,2,1.0000001192092896,40.25,1.7709997888803732,0.044,0.6756756756756757,0.04363197685115494,2.896619791767465
18,18,0,1.0000001192092896,41.5,1.8259997823238632,0.044,0.0,0.03201011702355788,2.6712335486383445
18,18,1,1.0000001192092896,41.5,1.8259997823238632,0.044,0.0,0.033915963263789345,2.7733353891326904
18,18,2,1.0000001192092896,41.5,1.8259997823238632,0.044,0.6756756756756757,0.04363197685115494,2.87062887601061
19,19,0,0.9999997019767761,42.625,1.875500558942723,0.044,0.0,0.04032153533882693,2.757202084509519
19,19,1,0.9999997019767761,42.625,1.875500558942723,0.044,0.5952380952380952,0.04072324416849343,2.772422080676606
19,19,2,0.9999997019767761,42.625,1.875500558942723,0.044,0.3968253968253968,0.025640117059505252,2.751268096047431
20,20,0,1.000000238418579,43.6875,1.9222495416999954,0.044,0.0,0.02926252575892721,2.6411061949038155
20,20,1,1.000000238418579,43.6875,1.9222495416999954,0.044,0.36764705882352944,0.03413517115346951,2.386400703722603
20,20,2,1.000000238418579,43.6875,1.9222495416999954,0.044,0.0,0.019425681599786776,2.587537468442625
21,21,0,0.9999996423721313,45.3125,1.993750713020818,0.044,0.7856472795497186,0.043616542842549066,2.714673062282965
21,21,1,0.9999996423721313,45.3125,1.993750713020818,0.044,0.36764705882352944,0.03413517115346951,2.386400703722603
21,21,2,0.9999996423721313,45.3125,1.993750713020818,0.044,0.0,0.04136467294362031,2.591451156854554
22,22,0,1.000000238418579,46.75,2.0569995095730995,0.044,0.0,0.04277010201735251,2.7043879413251894
22,22,1,1.000000238418579,46.75,2.0569995095730995,0.044,0.4807692307692308,0.03574275238550706,2.558688973493303
22,22,2,1.000000238418579,46.75,2.0569995095730995,0.044,0.0,0.03439815502855567,2.640922264475617
23,23,0,0.9999999403953552,48.5,2.1340001271963196,0.044,0.0,0.03652010201735251,2.825628368624942
