layer,layer_pos,seed,dir_norm,resid_norm,coeff,alpha_norm,effect,repetition,ppl
1,1,0,0.9999999403953552,18.359375,0.8078125481493799,0.044,0.0,0.5476522187822497,4.889174477990568
1,1,1,0.9999999403953552,18.359375,0.8078125481493799,0.044,0.0,0.4716348164161912,6.789159422990743
1,1,2,0.9999999403953552,18.359375,0.8078125481493799,0.044,0.0,0.39227084227084225,6.373851870722991
2,2,0,0.9999998807907104,18.609375,0.818812597610068,0.044,0.3968253968253968,0.04398091509664792,4.976574220975388
2,2,1,0.9999998807907104,18.609375,0.818812597610068,0.044,0.7352941176470589,0.06770880395168821,4.021130584146225
2,2,2,0.9999998807907104,18.609375,0.818812597610068,0.044,1.0,0.021632095461135287,3.8664725952846415
3,3,0,0.9999999403953552,18.8125,0.8277500493377477,0.044,0.3246753246753247,0.02718079522745248,2.91346641480583
3,3,1,0.9999999403953552,18.8125,0.8277500493377477,0.044,0.0,0.0371485340279169,3.342127557854849
3,3,2,0.9999999403953552,18.8125,0.8277500493377477,0.044,0.7009803921568627,0.027219670876387297,3.474235057168791
4,4,0,1.0000003576278687,19.0625,0.8387497000397325,0.044,0.6410256410256411,0.03314108027678661,3.040897751635998
4,4,1,1.0000003576278687,19.0625,0.8387497000397325,0.044,1.6505636070853462,0.05017196394686904,3.078477563809561
4,4,2,1.0000003576278687,19.0625,0.8387497000397325,0.044,1.7676767676767677,0.062342473415176375,3.143331301781152
5,5,0,1.000000238418579,19.3125,0.8497497974038607,0.044,0.5319148936170213,0.023315058634266084,3.3701586613584786
5,5,1,1.000000238418579,19.3125,0.8497497974038607,0.044,1.3942307692307692,0.04125036105378657,2.76128914844427
5,5,2,1.000000238418579,19.3125,0.8497497974038607,0.044,1.377467105263158,0.027907884465261518,3.329185911173194
6,6,0,0.9999998211860657,19.65625,0.864875154651729,0.044,0.9674657534246576,0.028373015873015883,3.0378952938721304
6,6,1,0.9999998211860657,19.65625,0.864875154651729,0.044,1.349929873772791,0.021037844782721832,2.977208107137746
6,6,2,0.9999998211860657,19.65625,0.864875154651729,0.044,0.5813953488372093,0.015504374678332489,3.1553971307194595
7,7,0,0.9999996423721313,19.96875,0.8786253142208985,0.044,0.423728813559322,0.043673996812235966,2.734830799726252
7,7,1,0.9999996423721313,19.96875,0.8786253142208985,0.044,0.9873188405797102,0.037256156060121504,2.7955640088539413
7,7,2,0.9999996423721313,19.96875,0.8786253142208985,0.044,0.7279011311269376,0.0,2.6563205983277136
8,8,0,1.0000001192092896,20.25,0.8909998937845356,0.044,0.7034632034632035,0.050600961538461525,3.2168968789296897
8,8,1,1.0000001192092896,20.25,0.8909998937845356,0.044,1.3047138047138047,0.02885797604035309,2.6472905231818653
8,8,2,1.0000001192092896,20.25,0.8909998937845356,0.044,2.3534817235041863,0.03306452942825577,2.66630773161872
9,9,0,1.0,20.65625,0.908875,0.044,0.6493506493506493,0.024154859343833823,3.0409511678199395
9,9,1,1.0,20.65625,0.908875,0.044,1.1107229788143569,0.035734660243407684,2.8704824464474625
9,9,2,1.0,20.65625,0.908875,0.044,0.6024096385542169,0.05405689848718609,2.784219586479624
10,10,0,1.0000001192092896,20.96875,0.9226248900145423,0.044,0.0,0.041964285714285704,2.8748544451509694
10,10,1,1.0000001192092896,20.96875,0.9226248900145423,0.044,0.8653846153846154,0.014161220043573008,3.2904343164740784
10,10,2,1.0000001192092896,20.96875,0.9226248900145423,0.044,0.0,0.03225431583985716,3.164471567549019
11,11,0,1.0,21.34375,0.939125,0.044,0.3246753246753247,0.03203192407247629,2.9870558265732345
11,11,1,1.0,21.34375,0.939125,0.044,0.7345113902490952,0.02666823308270677,2.7323766372733003
11,11,2,1.0,21.34375,0.939125,0.044,1.1311911611761687,0.04473525170702744,3.2185299315958593
12,12,0,1.0000001192092896,21.53125,0.9473748870641128,0.044,0.3787878787878788,0.06646097493794079,2.6192257439970534
12,12,1,1.0000001192092896,21.53125,0.9473748870641128,0.044,0.0,0.028492063492063485,2.9891453139258783
12,12,2,1.0000001192092896,21.53125,0.9473748870641128,0.044,0.373134328358209,0.058498488747168315,2.9450947285945794
13,13,0,1.0,21.9375,0.9652499999999999,0.044,1.427616501145913,0.07056119777054579,3.1629230689012893
13,13,1,1.0,21.9375,0.9652499999999999,0.044,1.271186440677966,0.017321895664756976,3.176495686049008
13,13,2,1.0,21.9375,0.9652499999999999,0.044,1.426562186055857,0.06332261559431027,2.6552483624177774
14,14,0,1.0000001192092896,22.46875,0.9886248821467302,0.044,0.36231884057971014,0.05515738990971192,2.707231556755097
14,14,1,1.0000001192092896,22.46875,0.9886248821467302,0.044,0.5102040816326531,0.05753968253968253,3.3667706772346007
14,14,2,1.0000001192092896,22.46875,0.9886248821467302,0.044,0.0,0.04623732789182591,3.283869138677598
15,15,0,1.0000001192092896,23.0625,1.014749879032388,0.044000000000000004,0.7121212121212122,0.019909166698980185,3.165883354332194
15,15,1,1.0000001192092896,23.0625,1.014749879032388,0.044000000000000004,0.4166666666666667,0.03918472946544979,3.108760954343777
15,15,2,1.0000001192092896,23.0625,1.014749879032388,0.044000000000000004,0.44642857142857145,0.013042005420054209,2.631086245421219
16,16,0,1.000000238418579,23.75,1.044999750852644,0.044,0.373134328358209,0.023791056506990982,3.137591509078093
16,16,1,1.000000238418579,23.75,1.044999750852644,0.044,0.4098360655737705,0.01717836257309943,3.1084841501003013
16,16,2,1.000000238418579,23.75,1.044999750852644,0.044,1.1970766129032258,0.02973694243232941,3.41767954951971
17,17,0,1.0,24.71875,1.0876249999999998,0.04399999999999999,0.7692307692307693,0.053757353514103184,3.218216220577994
17,17,1,1.0,24.71875,1.0876249999999998,0.04399999999999999,0.4166666666666667,0.03002710115944876,3.4561995773643805
17,17,2,1.0,24.71875,1.0876249999999998,0.04399999999999999,0.4166666666666667,0.022025916926992933,2.7037174418198577
18,18,0,1.0000001192092896,25.71875,1.1316248650998038,0.044,0.0,0.025696150696150666,3.1501117311823963
18,18,1,1.0000001192092896,25.71875,1.1316248650998038,0.044,0.819672131147541,0.04550774727843451,3.165689835377697
18,18,2,1.0000001192092896,25.71875,1.1316248650998038,0.044,0.36231884057971014,0.03046277951740134,2.7277986558826965
19,19,0,1.000000238418579,27.21875,1.1976247144640173,0.044,0.3472222222222222,0.035735782214655454,3.051384793633
19,19,1,1.000000238418579,27.21875,1.1976247144640173,0.044,0.0,0.019203664552501748,3.361100457256512
19,19,2,1.000000238418579,27.21875,1.1976247144640173,0.044,0.8928571428571429,0.03279569892473119,3.8918610961857922
20,20,0,0.9999999403953552,28.6875,1.2622500752359673,0.044,0.0,0.034656255532442254,3.208426593012723
20,20,1,0.9999999403953552,28.6875,1.2622500752359673,0.044,0.819672131147541,0.04021464646464648,3.25474546130566
20,20,2,0.9999999403953552,28.6875,1.2622500752359673,0.044,0.819672131147541,0.019910015649452273,2.9298129291952675
21,21,0,1.0000001192092896,29.75,1.3089998439550585,0.044,0.38461538461538464,0.020102697230929972,3.3440210585714505
21,21,1,1.0000001192092896,29.75,1.3089998439550585,0.044,0.3968253968253968,0.07243594024800198,2.556191186922252
21,21,2,1.0000001192092896,29.75,1.3089998439550585,0.044,0.6410256410256411,0.05854239579126844,3.6615316650772325
22,22,0,1.0,30.875,1.3584999999999998,0.044,0.0,0.03143263359278772,3.4537517482700393
22,22,1,1.0,30.875,1.3584999999999998,0.044,0.819672131147541,0.030555555555555558,3.090601356822999
22,22,2,1.0,30.875,1.3584999999999998,0.044,0.4032258064516129,0.02738511488511486,4.235349389231177
23,23,0,1.0000001192092896,31.9375,1.4052498324811658,0.044,0.3472222222222222,0.03159002263411326,3.1790565357873026
23,23,1,1.0000001192092896,31.9375,1.4052498324811658,0.044,0.819672131147541,0.046159768415866,3.3888181876964723
23,23,2,1.0000001192092896,31.9375,1.4052498324811658,0.044,0.0,0.021180555555555564,3.1506827901815115
24,24,0,1.0,33.0,1.452,0.044,0.390625,0.038653926482873885,3.3249706816542686
24,24,1,1.0,33.0,1.452,0.044,0.0,0.03862577639751552,3.153731927890545
24,24,2,1.0,33.0,1.452,0.044,0.49019607843137253,0.034099576271186455,2.9021754612054114
25,25,0,0.9999997615814209,34.09375,1.5001253576577562,0.044,0.0,0.02168014277389277,3.3198741161023477
25,25,1,0.9999997615814209,34.09375,1.5001253576577562,0.044,0.9403036576949619,0.05597478238607273,3.3086901457014712
25,25,2,0.9999997615814209,34.09375,1.5001253576577562,0.044,0.0,0.030624999999999986,2.9671813036917025
26,26,0,1.000000238418579,34.9375,1.5372496334911268,0.044,0.3424657534246575,0.021650326797385627,3.044178102074143
26,26,1,1.000000238418579,34.9375,1.5372496334911268,0.044,0.5434782608695652,0.030667162698412714,2.915775054316704
26,26,2,1.000000238418579,34.9375,1.5372496334911268,0.044,0.0,0.027817139001349522,2.9630838763575285
27,27,0,1.0,36.25,1.595,0.044,0.390625,0.022451159951159955,3.6067468137350343
27,27,1,1.0,36.25,1.595,0.044,0.5319148936170213,0.0305463897515528,2.9324214923898757
27,27,2,1.0,36.25,1.595,0.044,0.0,0.045474481658692195,2.99308716857626
28,28,0,1.0000001192092896,37.9375,1.669249801009917,0.044,0.390625,0.027619278763443555,3.4319542352638086
28,28,1,1.0000001192092896,37.9375,1.669249801009917,0.044,1.3515870247645623,0.04819271911663217,3.36607194556849
28,28,2,1.0000001192092896,37.9375,1.669249801009917,0.044,0.0,0.05694388918557944,3.083089026169604
29,29,0,1.0000003576278687,40.9375,1.8012493558230318,0.044,0.3424657534246575,0.027722647616812368,3.305646888582005
29,29,1,1.0000003576278687,40.9375,1.8012493558230318,0.044,0.5319148936170213,0.03450816569327275,3.2161192018428557
29,29,2,1.0000003576278687,40.9375,1.8012493558230318,0.044,0.390625,0.0327039188881294,3.010705363710946
30,30,0,1.0000003576278687,40.6875,1.790249359756937,0.044,0.3424657534246575,0.023876493770658536,3.3550615432381465
30,30,1,1.0000003576278687,40.6875,1.790249359756937,0.044,0.5319148936170213,0.02399665551839464,2.819775173770494
30,30,2,1.0000003576278687,40.6875,1.790249359756937,0.044,0.0,0.024947786131996663,3.115500708873914
31,31,0,0.9999998807907104,373.5,16.434001959085695,0.04399999999999999,0.5813953488372093,0.04511986715166186,3.440923962163275
31,31,1,0.9999998807907104,373.5,16.434001959085695,0.04399999999999999,0.9225398936170213,0.020766672940585984,3.0319633787689924
31,31,2,0.9999998807907104,373.5,16.434001959085695,0.04399999999999999,0.9920634920634921,0.026112819779224167,2.782817997614105
