layer,layer_pos,seed,dir_norm,resid_norm,coeff,alpha_norm,effect,repetition,ppl
1,1,0,1.0,20.9375,0.9212499999999999,0.044,71.75,0.03533549783549783,2.409531845791504
1,1,1,1.0,20.9375,0.9212499999999999,0.044,70.75,0.043340163934426246,2.524558510552147
1,1,2,1.0,20.9375,0.9212499999999999,0.044,68.75,0.03738566698518686,2.6898446089699304
2,2,0,0.9999999403953552,27.625,1.21550007244945,0.044,75.5,0.04881213178142674,2.350781881557329
2,2,1,0.9999999403953552,27.625,1.21550007244945,0.044,74.75,0.02849025974025976,2.593237951354271
2,2,2,0.9999999403953552,27.625,1.21550007244945,0.044,70.25,0.05620583330535317,2.7834925320534647
3,3,0,0.9999998807907104,307.0,13.508001610279274,0.044,69.0,0.04244910689779316,2.496915418753904
3,3,1,0.9999998807907104,307.0,13.508001610279274,0.044,68.5,0.04610420638646445,4.417757026852877
3,3,2,0.9999998807907104,307.0,13.508001610279274,0.044,69.0,0.0458341894909059,3.0902883767902747
4,4,0,1.000000238418579,382.5,16.829995987416268,0.044,72.25,0.05381628175745823,2.908096515051133
4,4,1,1.000000238418579,382.5,16.829995987416268,0.044,69.5,0.03388888888888891,2.503074913419542
4,4,2,1.000000238418579,382.5,16.829995987416268,0.044,67.75,0.04123907742328797,2.614226362268603
5,5,0,1.000000238418579,393.0,17.29199587726691,0.044,69.0,0.0597706868110007,2.7057574753242077
5,5,1,1.000000238418579,393.0,17.29199587726691,0.044,68.25,0.0411834652496012,2.8594263056936104
5,5,2,1.000000238418579,393.0,17.29199587726691,0.044,66.75,0.028946614514818253,2.8427499165809165
6,6,0,1.0000003576278687,403.0,17.7319936585449,0.044,72.25,0.07494981325863675,2.4654797701904587
6,6,1,1.0000003576278687,403.0,17.7319936585449,0.044,69.75,0.03969158787270244,2.555293814176985
6,6,2,1.0000003576278687,403.0,17.7319936585449,0.044,68.75,0.04027014652014649,2.7459691313089207
7,7,0,1.0,412.0,18.128,0.044,64.25,0.039713468699019955,2.385405518937997
7,7,1,1.0,412.0,18.128,0.044,65.75,0.03367521367521367,2.51213157521853
7,7,2,1.0,412.0,18.128,0.044,68.0,0.037026890997986756,2.67943791265637
8,8,0,1.000000238418579,421.5,18.545995578290086,0.044,70.5,0.04650852543636111,2.647260145152313
8,8,1,1.000000238418579,421.5,18.545995578290086,0.044,70.5,0.05508195371056751,2.7386392874382457
8,8,2,1.000000238418579,421.5,18.545995578290086,0.044,69.0,0.033965022246272264,2.8626533969388914
9,9,0,1.000000238418579,429.5,18.897995494366764,0.044,69.5,0.04191777721189488,2.8550886184242423
9,9,1,1.000000238418579,429.5,18.897995494366764,0.044,72.0,0.06487179487179484,2.6757313748288754
9,9,2,1.000000238418579,429.5,18.897995494366764,0.044,66.0,0.033591978575999326,2.8328101926084193
10,10,0,1.0000001192092896,434.0,19.09599772357968,0.044,67.5,0.025475620870357735,2.721895568096489
10,10,1,1.0000001192092896,434.0,19.09599772357968,0.044,71.25,0.05717563435415263,2.905310859733988
10,10,2,1.0000001192092896,434.0,19.09599772357968,0.044,67.25,0.03962564715252889,2.741576818303081
