coeff,seed,alpha_norm,formality,repetition,ppl
-5.737499316036783,0,-0.2,4.373919101731602,0.04304347658701285,3.370464117884012
-5.737499316036783,1,-0.2,4.154278861607695,0.05829495614035088,3.552779694812632
-5.737499316036783,2,-0.2,4.447619047619048,0.059778398716317155,4.298790979176363
-3.758062052004093,0,-0.131,4.662646433467197,0.02730251500274386,4.107754371599322
-3.758062052004093,1,-0.131,4.148605625045717,0.03777805461768971,3.3897541427183264
-3.758062052004093,2,-0.131,4.5626307855563155,0.05135964912280702,3.193896736643799
-2.4958122024760003,0,-0.087,4.2617140110624465,0.06562304197994986,3.740181964282278
-2.4958122024760003,1,-0.087,4.383266167043741,0.041094402673350044,3.910192891836851
-2.4958122024760003,2,-0.087,4.347486958158793,0.05839947089947092,3.599296745495385
-1.5778123119101153,0,-0.055,4.498403327677225,0.0406950167887668,3.953906938201576
-1.5778123119101153,1,-0.055,4.507574538182528,0.047688355263849874,3.2614266658308115
-1.5778123119101153,2,-0.055,4.398104403051542,0.04869402985074628,3.3986848257247733
-0.9466873871460691,0,-0.033,4.770605402545728,0.021049107142857154,3.4681175348113027
-0.9466873871460691,1,-0.033,4.666325030690703,0.037212739992093374,3.210206400424195
-0.9466873871460691,2,-0.033,4.523826823219406,0.04744666092613853,3.8650184166631845
0.0,0,0.0,4.924781039624789,0.024372525516690308,3.3250357857717994
0.0,1,0.0,4.807193202028852,0.036018471308055994,2.71215521074724
0.0,2,0.0,4.765920099344588,0.022112753147235903,3.093659423620682
0.9466873871460691,0,0.033,4.602098100232428,0.047142828215330695,2.9551126073200487
0.9466873871460691,1,0.033,4.661112012127023,0.054931512149822004,2.9934514518271786
0.9466873871460691,2,0.033,4.9280318003896655,0.03158761528326748,3.357660707713096
1.262249849528092,0,0.044,4.478766683409873,0.037615472325293775,3.1680557874886475
1.262249849528092,1,0.044,4.824033655795413,0.060724247031171796,2.925668240777876
1.262249849528092,2,0.044,4.664637799366243,0.03647031323048153,2.9674592921297727
1.5778123119101153,0,0.055,4.658293354655294,0.022743391360412646,3.628817817139413
1.5778123119101153,1,0.055,4.824033655795413,0.060724247031171796,2.925668240777876
1.5778123119101153,2,0.055,4.479439941845957,0.050475230414746525,2.7911876038634413
2.4958122024760003,0,0.087,4.632176785754485,0.04178503787878787,3.276040834798303
2.4958122024760003,1,0.087,4.474734978674065,0.06334205813472932,3.931689536573443
2.4958122024760003,2,0.087,4.719980076757571,0.02848039215686274,3.826924108676899
3.758062052004093,0,0.131,4.421511759384893,0.04832582671565719,2.9089803853650924
3.758062052004093,1,0.131,4.675464320625611,0.06330390920554854,3.371054929705592
3.758062052004093,2,0.131,4.776815687634265,0.0497547591297591,3.703458529447151
5.651436826296231,0,0.197,4.793658088235294,0.05086966822203684,3.264156483294017
5.651436826296231,1,0.197,4.883358010925166,0.044254519989814084,2.955309336980186
5.651436826296231,2,0.197,4.709370302617772,0.05339370596723539,3.267029699804707
8.147249028772231,0,0.284,4.6441781121511685,0.039253667568722395,4.199046314026846
8.147249028772231,1,0.284,4.8690830882732286,0.0829180758062252,4.208299306835263
8.147249028772231,2,0.284,4.7089286289821315,0.06110065765436609,4.064212356669195
