coeff,seed,alpha_norm,effect,repetition,ppl
-92.9,0,-0.2,35.75,0.14734106357457016,12.91482857297941
-92.9,1,-0.2,39.25,0.0956053577322234,87.23520065006947
-92.9,2,-0.2,40.0,0.1506127450980392,90.7011233772548
-60.8495,0,-0.131,35.25,0.03240740740740741,23.446831300712446
-60.8495,1,-0.131,43.25,0.062002767208578335,20.826106714745688
-60.8495,2,-0.131,41.25,0.029709653092006044,25.112149056056538
-40.4115,0,-0.087,41.0,0.019052904180540148,5.644064774871056
-40.4115,1,-0.087,48.5,0.01939471440750215,4.425577782974062
-40.4115,2,-0.087,49.75,0.019335511982570802,3.693307774977384
-25.5475,0,-0.055,54.75,0.024199743918053795,3.196783412505169
-25.5475,1,-0.055,59.0,0.018849206349206366,3.6266280313222774
-25.5475,2,-0.055,54.25,0.012937062937062926,2.893509568142163
-15.3285,0,-0.033,58.75,0.03350303423019377,2.74282963235642
-15.3285,1,-0.033,58.25,0.032793932045718815,2.759602110752472
-15.3285,2,-0.033,62.5,0.06311304254053327,2.758580948024751
0.0,0,0.0,74.75,0.05214222052457346,2.3666880061450297
0.0,1,0.0,72.5,0.02634019300685969,2.763788798043627
0.0,2,0.0,69.75,0.037097164196684074,2.7514057635727127
15.3285,0,0.033,79.0,0.054715003544655444,2.908676185759872
15.3285,1,0.033,77.25,0.040543661775340634,3.041835700348537
15.3285,2,0.033,72.75,0.03418531569329589,2.883656881420323
20.438,0,0.044,77.25,0.07241337084325303,2.9087964350805953
20.438,1,0.044,77.75,0.05288577080213708,2.953294881101324
20.438,2,0.044,75.75,0.04315139517345401,3.101340421274799
25.5475,0,0.055,80.75,0.04723680148193887,3.322242675038485
25.5475,1,0.055,78.0,0.04940705128205125,3.233608186963098
25.5475,2,0.055,74.75,0.07129008672851958,3.0530837344977515
40.4115,0,0.087,76.5,0.07453890783688849,4.5501000565466985
40.4115,1,0.087,81.25,0.10726288537533518,4.383856004810318
40.4115,2,0.087,77.75,0.0495521483021483,4.346611438699385
60.8495,0,0.131,80.5,0.07837803643724697,8.337452384058242
60.8495,1,0.131,80.75,0.07195089999726267,7.988994521267001
60.8495,2,0.131,79.25,0.0571893207309874,9.239109909696738
91.5065,0,0.197,78.0,0.2274253848597456,11.67142036868858
91.5065,1,0.197,76.5,0.3533379209694999,9.093052611024422
91.5065,2,0.197,76.0,0.30818229715489986,7.576802189182951
131.91799999999998,0,0.284,65.5,0.3450342898279825,8.565220131036773
131.91799999999998,1,0.284,67.0,0.3569060885335584,10.471018404105788
131.91799999999998,2,0.284,60.5,0.5051077929934554,5.301699317990586
