layer,layer_pos,seed,dir_norm,resid_norm,coeff,alpha_norm,formality,repetition,ppl
1,1,0,1.0000001192092896,18.359375,0.8078124037012572,0.044,3.4267117774782867,0.6263443834646366,2.360169785029939
1,1,1,1.0000001192092896,18.359375,0.8078124037012572,0.044,4.4533736701981965,0.5272041920216362,4.995020859471799
1,1,2,1.0000001192092896,18.359375,0.8078124037012572,0.044,4.476029447027065,0.7000827962764054,4.514787436802806
2,2,0,1.0,18.609375,0.8188124999999999,0.044,4.457403163285516,0.062445892151808374,3.0208377730319778
2,2,1,1.0,18.609375,0.8188124999999999,0.044,4.464853896103896,0.06877990430622011,3.9449122639797802
2,2,2,1.0,18.609375,0.8188124999999999,0.044,4.296828699469545,0.044077378501025666,4.168976034599093
3,3,0,1.0000003576278687,18.8125,0.8277497039736376,0.044,4.710243497327144,0.048753330003330014,3.2197536422670785
3,3,1,1.0000003576278687,18.8125,0.8277497039736376,0.044,4.415215557349297,0.057278214841945424,3.403214032752115
3,3,2,1.0000003576278687,18.8125,0.8277497039736376,0.044,4.584125046105169,0.022826086956521746,3.237782881852637
4,4,0,0.9999998807907104,19.0625,0.8387500999868035,0.044,4.939238886214091,0.022449397449397446,3.3587861275963915
4,4,1,0.9999998807907104,19.0625,0.8387500999868035,0.044,4.82954046739424,0.024038461538461536,3.0377365035528414
4,4,2,0.9999998807907104,19.0625,0.8387500999868035,0.044,4.836592459041361,0.03950216450216451,2.7505004476512376
5,5,0,1.0000001192092896,19.3125,0.8497498987019183,0.044,4.946689167470266,0.04036069651741295,3.2206317883642837
5,5,1,1.0000001192092896,19.3125,0.8497498987019183,0.044,4.748890210841848,0.01999999999999999,2.950906900523295
5,5,2,1.0000001192092896,19.3125,0.8497498987019183,0.044,4.688973225508152,0.023892633606162755,3.3852026646772333
6,6,0,1.0000001192092896,19.65625,0.864874896898878,0.044,4.76230324074074,0.023991357549309034,2.98799829729671
6,6,1,1.0000001192092896,19.65625,0.864874896898878,0.044,4.849670079152683,0.035560344827586216,2.549966398668155
6,6,2,1.0000001192092896,19.65625,0.864874896898878,0.044,4.503913612393314,0.06109994792331955,3.3829887615136216
7,7,0,1.0,19.96875,0.878625,0.044,4.204313091841214,0.04173397083844846,2.8700636356560083
7,7,1,1.0,19.96875,0.878625,0.044,4.4950095402681605,0.021198595671780535,2.551773330872921
7,7,2,1.0,19.96875,0.878625,0.044,4.436502422207518,0.01764354066985646,3.5548598482926432
8,8,0,1.0,20.25,0.8909999999999999,0.044,4.352581927306974,0.05619397816166885,2.9309184365078664
8,8,1,1.0,20.25,0.8909999999999999,0.044,4.566394982863348,0.0054347826086956486,2.9633500970633646
8,8,2,1.0,20.25,0.8909999999999999,0.044,4.7311802450702345,0.019901978204217047,3.8102983728652995
9,9,0,0.9999998807907104,20.65625,0.908875108346356,0.044,4.554594369066713,0.0313682601192819,3.2832440009003947
9,9,1,0.9999998807907104,20.65625,0.908875108346356,0.044,4.73591072905589,0.04542211118799236,3.9086113333595778
9,9,2,0.9999998807907104,20.65625,0.908875108346356,0.044,5.0555310979039785,0.04542767877521342,3.778680133637828
10,10,0,1.0,20.96875,0.9226249999999999,0.044,4.664567536595239,0.032341269841269865,2.8875646717986023
10,10,1,1.0,20.96875,0.9226249999999999,0.044,4.842821659215102,0.026930894308943104,3.2908845235046873
10,10,2,1.0,20.96875,0.9226249999999999,0.044,4.693803135052578,0.026730490563370318,3.08607980897499
11,11,0,1.000000238418579,21.34375,0.9391247760952053,0.044,4.665472300189381,0.06705688677519664,2.92321852651403
11,11,1,1.000000238418579,21.34375,0.9391247760952053,0.044,4.898449478700233,0.02719613384240749,3.291295094928232
11,11,2,1.000000238418579,21.34375,0.9391247760952053,0.044,5.386804392790308,0.015564903846153832,2.9239726473180663
12,12,0,1.0,21.53125,0.947375,0.044,4.3002742213237495,0.057667732455868065,2.901981894276541
12,12,1,1.0,21.53125,0.947375,0.044,4.3481331533963115,0.04197321521265182,3.3601997063506333
12,12,2,1.0,21.53125,0.947375,0.044,4.81274590315199,0.03504273504273506,2.8969832235158055
13,13,0,0.9999998807907104,21.9375,0.9652501150667804,0.044,4.970945430250468,0.034149184149184136,3.2465866116852484
13,13,1,0.9999998807907104,21.9375,0.9652501150667804,0.044,4.6760916602556515,0.01815907522429261,3.319441189428225
13,13,2,0.9999998807907104,21.9375,0.9652501150667804,0.044,4.56328125,0.03301992443930607,3.3516381985318375
14,14,0,0.9999997615814209,22.46875,0.988625235706624,0.044,4.474953314659197,0.050792106079404487,3.149066268410322
14,14,1,0.9999997615814209,22.46875,0.988625235706624,0.044,4.416491128838265,0.038760303471093244,3.2411708069063017
14,14,2,0.9999997615814209,22.46875,0.988625235706624,0.044,4.736915166848753,0.03818669035882152,2.990255772683487
15,15,0,1.0000001192092896,23.0625,1.014749879032388,0.044000000000000004,4.7328979608895,0.029601755551053183,3.5184979714741798
15,15,1,1.0000001192092896,23.0625,1.014749879032388,0.044000000000000004,4.851720862060114,0.026200540752779555,3.536100409032718
