layer,layer_pos,seed,dir_norm,resid_norm,coeff,alpha_norm,effect,repetition,ppl
1,1,0,1.0000001192092896,8.421875,1.0443123755082637,0.124,4.447187019026099,0.060763414217361617,3.0708118604179777
1,1,1,1.0000001192092896,8.421875,1.0443123755082637,0.124,4.651914970004401,0.04264678671170921,3.1867447269975475
1,1,2,1.0000001192092896,8.421875,1.0443123755082637,0.124,4.785978193523007,0.04468319461893652,3.3494000626985376
2,2,0,1.000000238418579,31.6875,3.9292490631940216,0.124,4.195636064686473,0.06033400702052974,4.1646569224291925
2,2,1,1.000000238418579,31.6875,3.9292490631940216,0.124,4.284365621968004,0.07774725274725275,4.929907302816902
2,2,2,1.000000238418579,31.6875,3.9292490631940216,0.124,3.9716267018898597,0.15602479521938178,4.148475053051469
3,3,0,0.9999999403953552,55.4375,6.874250409737254,0.124,4.002380952380952,0.25868408699734,32.7400803132811
3,3,1,0.9999999403953552,55.4375,6.874250409737254,0.124,5.551589267285862,0.41047297297297297,145.6129741180144
3,3,2,0.9999999403953552,55.4375,6.874250409737254,0.124,4.038426711941144,0.21911616161616163,26.63541369043211
4,4,0,1.0,57.0,7.068,0.124,4.623663835020256,0.07051431683784626,4.6535437651113885
4,4,1,1.0,57.0,7.068,0.124,4.044364146276715,0.0962719298245614,5.187091284898601
4,4,2,1.0,57.0,7.068,0.124,4.350892123418569,0.09550403225806453,4.805368088484335
5,5,0,1.0,58.0,7.192,0.124,5.591916924062235,0.0551239209133946,4.860572957994379
5,5,1,1.0,58.0,7.192,0.124,4.024342703165791,0.29376781981404837,5.66713488871274
5,5,2,1.0,58.0,7.192,0.124,4.747062423500612,0.15698997909022766,4.4916513575397765
6,6,0,1.0000001192092896,58.125,7.207499140799148,0.124,5.1613257575757565,0.20071879474107132,5.224429728037086
6,6,1,1.0000001192092896,58.125,7.207499140799148,0.124,5.2899564090270434,0.27912264827915234,5.192531552065164
6,6,2,1.0000001192092896,58.125,7.207499140799148,0.124,4.529984129267181,0.21850649350649354,6.47074037405836
7,7,0,1.0000001192092896,58.8125,7.292749130636557,0.124,4.091175691778101,0.03353658536585366,18.83632924448402
7,7,1,1.0000001192092896,58.8125,7.292749130636557,0.124,4.0515958815958815,0.0704225352112676,14.472252973368064
7,7,2,1.0000001192092896,58.8125,7.292749130636557,0.124,3.8752392344497606,0.019230769230769218,13.234514983499512
8,8,0,1.0,59.5625,7.38575,0.124,4.119906585102158,0.04188804554079695,17.43463511912619
8,8,1,1.0,59.5625,7.38575,0.124,4.071820557491289,0.031101614434947772,11.278406741212489
8,8,2,1.0,59.5625,7.38575,0.124,4.151037507562009,0.05090175605125771,10.957200344168312
9,9,0,1.0,60.4375,7.49425,0.124,4.327232877384702,0.13421174021003854,7.21954898380768
9,9,1,1.0,60.4375,7.49425,0.124,4.369113043924466,0.11037554556706403,17.238033251788753
9,9,2,1.0,60.4375,7.49425,0.124,4.063137244658984,0.21649362250307477,6.225891797338597
10,10,0,1.0,60.5625,7.50975,0.12400000000000001,2.514185542718151,0.03,9.988547003430146
10,10,1,1.0,60.5625,7.50975,0.12400000000000001,3.5135808270676687,0.06,11.88289996991588
10,10,2,1.0,60.5625,7.50975,0.12400000000000001,3.6246161014125478,0.08171791443850268,6.646763246529082
11,11,0,0.9999999403953552,60.375,7.4865004462302,0.12400000000000001,4.759097607239703,0.2502973782150284,12.534934613337919
11,11,1,0.9999999403953552,60.375,7.4865004462302,0.12400000000000001,4.35046336726321,0.3983833324031181,8.86943997042291
11,11,2,0.9999999403953552,60.375,7.4865004462302,0.12400000000000001,4.301368868693476,0.4472454816704645,6.935362600042912
12,12,0,0.9999998807907104,61.0,7.564000901699174,0.124,4.555343986362033,0.20266483516483516,10.140073120440526
12,12,1,0.9999998807907104,61.0,7.564000901699174,0.124,4.17801655000322,0.2108002448068595,9.824940917782323
12,12,2,0.9999998807907104,61.0,7.564000901699174,0.124,4.132602710493542,0.21387360377265482,8.762172204645621
13,13,0,0.9999999403953552,61.9375,7.6802504577786,0.124,4.377037704982496,0.19449664124909224,6.033550884032971
13,13,1,0.9999999403953552,61.9375,7.6802504577786,0.124,3.796327184720042,0.06439393939393939,7.020895203625925
13,13,2,0.9999999403953552,61.9375,7.6802504577786,0.124,4.448075043971077,0.061834733893557425,6.052301209596841
14,14,0,0.9999999403953552,63.0,7.812000465631513,0.124,4.736043620319545,0.18782727850065312,4.124602889078219
