layer,layer_pos,seed,dir_norm,resid_norm,coeff,alpha_norm,effect,repetition,ppl
1,1,0,0.9999998807907104,155.0,6.820000813007451,0.044,4.698345624937606,0.03565992304172874,2.921675748136177
1,1,1,0.9999998807907104,155.0,6.820000813007451,0.044,4.609980682427329,0.028579840805718015,2.9389491688518827
1,1,2,0.9999998807907104,155.0,6.820000813007451,0.044,4.7754356783429595,0.013544891640866863,2.774849881051268
2,2,0,1.0000001192092896,310.5,13.661998371362879,0.044,4.630326396960311,0.05489399011637175,3.078034079444241
2,2,1,1.0000001192092896,310.5,13.661998371362879,0.044,4.818720804137471,0.06333337803046557,2.9580739481795355
2,2,2,1.0000001192092896,310.5,13.661998371362879,0.044,5.06470256949709,0.017361111111111105,3.2776192804702116
3,3,0,1.0000001192092896,319.5,14.057998324156006,0.044,4.810811064228786,0.043319040194040176,3.2836151142686933
3,3,1,1.0000001192092896,319.5,14.057998324156006,0.044,4.4871697984749455,0.04299664651426413,2.9173695699751407
3,3,2,1.0000001192092896,319.5,14.057998324156006,0.044,4.828828688944675,0.04348003960808838,3.0733320992745865
4,4,0,1.0000001192092896,328.0,14.431998279571737,0.044,5.061603613777526,0.04624613003095976,3.1058017971767353
4,4,1,1.0000001192092896,328.0,14.431998279571737,0.044,4.574571165716999,0.03425085943468295,2.7442906874412634
4,4,2,1.0000001192092896,328.0,14.431998279571737,0.044,4.664445003353454,0.023321858864027545,2.921511766401444
5,5,0,0.9999998807907104,332.0,14.608001741409508,0.044,4.710178676950829,0.049227679950571535,3.33794755488465
5,5,1,0.9999998807907104,332.0,14.608001741409508,0.044,4.614936053292217,0.06688596491228072,3.4705476202816268
5,5,2,0.9999998807907104,332.0,14.608001741409508,0.044,4.66093903935343,0.0393264454165593,3.1686386266315747
6,6,0,1.0,334.0,14.696,0.044,4.800542717086834,0.05249056529601384,3.2537773347894086
6,6,1,1.0,334.0,14.696,0.044,4.75473810728745,0.04904761904761906,3.0439760591983713
6,6,2,1.0,334.0,14.696,0.044,4.732743350623551,0.042487696442498724,3.107500543734059
7,7,0,1.000000238418579,338.0,14.871996454239737,0.044,4.223649001192605,0.0728323453273888,2.677443690631895
