layer,layer_pos,seed,dir_norm,resid_norm,coeff,alpha_norm,effect,repetition,ppl
1,1,0,0.9999999403953552,20.9375,0.9212500549107822,0.044,0.3246753246753247,0.06152215367651348,2.492190226323161
1,1,1,0.9999999403953552,20.9375,0.9212500549107822,0.044,0.5102040816326531,0.051358695652173936,2.680010930591255
1,1,2,0.9999999403953552,20.9375,0.9212500549107822,0.044,0.3125,0.03729557689509677,2.713252090460428
2,2,0,0.9999997615814209,27.625,1.215500289797852,0.044,0.32051282051282054,0.051973444153265436,2.343133399292911
2,2,1,0.9999997615814209,27.625,1.215500289797852,0.044,0.44642857142857145,0.05028299403299405,2.6156533304999616
2,2,2,0.9999997615814209,27.625,1.215500289797852,0.044,0.3125,0.032985232067510556,2.6780655872563472
3,3,0,0.9999997615814209,307.0,13.508003220558933,0.044,0.6767880007316627,0.043528950524787446,2.7013494526635964
3,3,1,0.9999997615814209,307.0,13.508003220558933,0.044,0.7628842676311032,0.06556221556221556,2.590984834104887
3,3,2,0.9999997615814209,307.0,13.508003220558933,0.044,0.0,0.05650124069478907,2.631356657045548
4,4,0,1.0000003576278687,382.5,16.82999398112512,0.044,0.3125,0.03612019702395727,2.9942422586891397
4,4,1,1.0000003576278687,382.5,16.82999398112512,0.044,0.4716981132075472,0.03936501702016232,2.711798442463474
4,4,2,1.0000003576278687,382.5,16.82999398112512,0.044,0.0,0.0411725955204216,2.497702763086098
5,5,0,1.0000001192092896,393.0,17.29199793863321,0.044,0.0,0.04569550594305277,2.9392896490241847
5,5,1,1.0000001192092896,393.0,17.29199793863321,0.044,0.7291666666666667,0.03457524459863315,2.4753587222500233
5,5,2,1.0000001192092896,393.0,17.29199793863321,0.044,0.32051282051282054,0.041426092869694536,2.746335150931965
6,6,0,1.0,403.0,17.732,0.044,0.7557098074339453,0.020253759398496246,2.623802431313944
6,6,1,1.0,403.0,17.732,0.044,0.3472222222222222,0.06068834558934996,2.8967603933323995
6,6,2,1.0,403.0,17.732,0.044,0.8831521739130435,0.020691859022089837,2.7759837607388507
7,7,0,0.9999998211860657,412.0,18.12800324153958,0.044,0.32051282051282054,0.031534356166709104,2.6669010067872048
7,7,1,0.9999998211860657,412.0,18.12800324153958,0.044,0.3787878787878788,0.030831463618348848,2.8452179127688275
7,7,2,0.9999998211860657,412.0,18.12800324153958,0.044,0.7413419913419914,0.02131189561086025,2.681776354601143
8,8,0,0.9999997019767761,421.5,18.546005527140355,0.044,0.32051282051282054,0.04054799367299369,2.6885206208122954
8,8,1,0.9999997019767761,421.5,18.546005527140355,0.044,0.32051282051282054,0.0469818355211922,2.5854209624146556
8,8,2,0.9999997019767761,421.5,18.546005527140355,0.044,0.0,0.01868028077705494,2.9445973180117093
9,9,0,0.9999997019767761,429.5,18.898005632044562,0.044,1.1331749207090658,0.03194444444444444,2.6914968580376284
9,9,1,0.9999997019767761,429.5,18.898005632044562,0.044,0.4166666666666667,0.05416969167644681,2.9253197684793886
9,9,2,0.9999997019767761,429.5,18.898005632044562,0.044,1.0174360883593945,0.03036682491906373,2.9209827142639115
10,10,0,1.000000238418579,434.0,19.0959954471599,0.044,0.6822344322344323,0.052927948357551796,2.6490506380276955
10,10,1,1.000000238418579,434.0,19.0959954471599,0.044,0.6411310208778563,0.05904902305932053,2.7334054576690425
10,10,2,1.000000238418579,434.0,19.0959954471599,0.044,0.6904761904761905,0.03785154719937325,3.0629708157305258
11,11,0,1.000000238418579,444.0,19.535995342255745,0.044,0.32894736842105265,0.0430952380952381,2.541156187506535
11,11,1,1.000000238418579,444.0,19.535995342255745,0.044,0.31645569620253167,0.037221018418201524,2.665767569010171
11,11,2,1.000000238418579,444.0,19.535995342255745,0.044,0.6291547958214625,0.03941017316017317,2.879107616070636
12,12,0,1.0000001192092896,450.0,19.799997639656347,0.04399999999999999,0.3125,0.05424036796802406,2.8475278364383554
12,12,1,1.0000001192092896,450.0,19.799997639656347,0.04399999999999999,0.0,0.048732496597849645,2.557607475471256
12,12,2,1.0000001192092896,450.0,19.799997639656347,0.04399999999999999,0.0,0.017070275403608726,3.040414604580039
13,13,0,1.0,454.0,19.976,0.044,0.662978573937478,0.05529539904539904,2.5649080738111647
13,13,1,1.0,454.0,19.976,0.044,0.373134328358209,0.030759946549420214,2.5503783711931094
13,13,2,1.0,454.0,19.976,0.044,0.3787878787878788,0.03735694625525132,2.4672850185453474
14,14,0,1.0000001192092896,457.5,20.129997600317285,0.044,0.30864197530864196,0.02843870656370656,2.9701005259728923
14,14,1,1.0000001192092896,457.5,20.129997600317285,0.044,1.908495987443356,0.023708920187793414,3.5462182498238417
14,14,2,1.0000001192092896,457.5,20.129997600317285,0.044,0.6761695906432749,0.04490705797785116,2.860260678208639
15,15,0,1.0000001192092896,462.5,20.349997574091244,0.044,0.6841027550260611,0.03259466108332859,3.1914654741890276
15,15,1,1.0000001192092896,462.5,20.349997574091244,0.044,1.345250993138317,0.06250854408749146,3.013481277987472
15,15,2,1.0000001192092896,462.5,20.349997574091244,0.044,1.44270397268898,0.044375644994840036,3.199334973544115
16,16,0,1.0,461.5,20.305999999999997,0.044,1.2014991181657848,0.030505952380952356,2.9701335159480284
16,16,1,1.0,461.5,20.305999999999997,0.044,1.5092621557082815,0.06177988677988677,2.7221777134062437
16,16,2,1.0,461.5,20.305999999999997,0.044,1.3574300009725837,0.03984441062066635,3.238878602468799
17,17,0,1.0,464.5,20.438,0.044,1.1039060930279283,0.040894989748979566,2.7747878523712064
17,17,1,1.0,464.5,20.438,0.044,0.4032258064516129,0.03352041808325959,2.9037857609130353
17,17,2,1.0,464.5,20.438,0.044,0.8333333333333334,0.05505432358530815,3.0767450211843292
18,18,0,1.0000001192092896,471.5,20.745997526884373,0.044,0.0,0.037071274075599986,2.7258161665105125
18,18,1,1.0000001192092896,471.5,20.745997526884373,0.044,0.0,0.035716476505950195,2.759697289898993
18,18,2,1.0000001192092896,471.5,20.745997526884373,0.044,0.0,0.044683501938375614,2.6981573068497835
19,19,0,1.0,480.0,21.119999999999997,0.044,0.31645569620253167,0.05472427116262732,2.503967367009707
19,19,1,1.0,480.0,21.119999999999997,0.044,0.30864197530864196,0.041911764705882315,2.6110386728875032
19,19,2,1.0,480.0,21.119999999999997,0.044,0.7318376068376069,0.0466385179193278,3.124898019660884
20,20,0,0.9999998807907104,494.0,21.736002591133424,0.044,0.32051282051282054,0.0566910566910567,3.0574755309128125
20,20,1,0.9999998807907104,494.0,21.736002591133424,0.044,0.3246753246753247,0.03722899907110433,2.5756143059032786
20,20,2,0.9999998807907104,494.0,21.736002591133424,0.044,0.6756756756756757,0.016457635548903476,3.121123112891474
21,21,0,0.9999999403953552,515.0,22.66000135064133,0.044,0.3246753246753247,0.051502425801390445,2.504819542177435
21,21,1,0.9999999403953552,515.0,22.66000135064133,0.044,0.6787745367822418,0.04171829333843294,2.8493802311441403
21,21,2,0.9999999403953552,515.0,22.66000135064133,0.044,0.6767880007316627,0.02482468281872452,2.595447025570752
22,22,0,1.0000001192092896,542.0,23.8479971570972,0.044,0.2976190476190476,0.054670457893349456,2.373158748586938
22,22,1,1.0000001192092896,542.0,23.8479971570972,0.044,0.7688723205964585,0.03198069201700521,2.5365791176072467
22,22,2,1.0000001192092896,542.0,23.8479971570972,0.044,0.32894736842105265,0.03553584684823524,2.557588611278593
23,23,0,0.9999998807907104,580.0,25.520003042221433,0.044,0.32051282051282054,0.0655318528452857,2.3849708961667115
23,23,1,0.9999998807907104,580.0,25.520003042221433,0.044,0.7431693989071038,0.03876490640731148,2.439658907656786
23,23,2,0.9999998807907104,580.0,25.520003042221433,0.044,0.0,0.027214611872146105,2.681899427545767
24,24,0,1.0000001192092896,623.0,27.411996732235345,0.044,0.3246753246753247,0.045633673736580255,2.3865208850377364
24,24,1,1.0000001192092896,623.0,27.411996732235345,0.044,0.43103448275862066,0.03905515980799126,2.581961154466376
24,24,2,1.0000001192092896,623.0,27.411996732235345,0.044,0.3246753246753247,0.04622683469236469,2.6294499192968046
25,25,0,0.9999999403953552,663.0,29.172001738786797,0.044,0.32894736842105265,0.05489141226110697,2.4268944407737303
25,25,1,0.9999999403953552,663.0,29.172001738786797,0.044,0.43103448275862066,0.0524392168386226,2.549142084931579
25,25,2,0.9999999403953552,663.0,29.172001738786797,0.044,0.0,0.028398818695428846,2.5985375728653817
26,26,0,0.9999995231628418,493.5,21.714010354046987,0.044,0.3125,0.0268307799736619,2.7276714800434165
26,26,1,0.9999995231628418,493.5,21.714010354046987,0.044,0.7750582750582751,0.04265692640692642,2.748270132033883
26,26,2,0.9999995231628418,493.5,21.714010354046987,0.044,0.32051282051282054,0.02678258617015189,2.748391412065707
27,27,0,1.000000238418579,278.0,12.231997083664636,0.044,0.32051282051282054,0.05205564043799338,2.3477047604110597
